checksum1,checksum2,dataset_type,join_chunk,join_count,join_schedule,join_threads,join_throughput,join_time,max_key,nr,ns,partition_block_size,partition_chunk,partition_schedule,partition_threads,partition_throughput,partition_time,time_sec,total_throughput
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,32,481960998.992576,0.207486,1000000,50000000,50000000,32768,4,guided,32,274803462.905742,0.363896,0.574568,174043736.860347
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,504551597.082077,0.198196,1000000,50000000,50000000,32768,4,guided,32,274013446.342213,0.364946,0.566410,176550410.839511
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,32,493788969.961288,0.202516,1000000,50000000,50000000,32768,8,guided,32,275503817.764051,0.362971,0.568751,175823927.760949
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,497159031.779916,0.201143,1000000,50000000,50000000,32768,8,guided,32,272621078.296568,0.366809,0.571173,175078289.737390
12610816366499644757,12079717592018431889,skewed_90_5,4,40578723119,guided,32,236905821.334544,0.422109,1000000,50000000,50000000,32768,4,guided,32,283865796.038508,0.352279,0.777576,128604793.644213
12610816366499644757,12079717592018431889,skewed_90_5,8,40578723119,guided,32,231068382.688051,0.432772,1000000,50000000,50000000,32768,4,guided,32,281991098.010972,0.354621,0.790816,126451693.453031
12610816366499644757,12079717592018431889,skewed_90_5,4,40578723119,guided,32,251007517.131011,0.398394,1000000,50000000,50000000,32768,8,guided,32,283791916.193573,0.352371,0.753956,132633807.772719
12610816366499644757,12079717592018431889,skewed_90_5,8,40578723119,guided,32,244732554.956854,0.408609,1000000,50000000,50000000,32768,8,guided,32,285402172.799566,0.350383,0.762583,131133271.508873
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,32,75739584.279365,1.320314,1000000,50000000,50000000,32768,4,guided,32,299980251.301076,0.333355,1.657123,60345536.740204
12347604091913951299,2033051395823430535,skewed_90_1,8,173507209024,guided,32,75209877.888067,1.329613,1000000,50000000,50000000,32768,4,guided,32,300958105.427014,0.332272,1.665252,60050982.008113
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,32,74894932.368918,1.335204,1000000,50000000,50000000,32768,8,guided,32,301718185.117086,0.331435,1.670138,59875274.462262
12347604091913951299,2033051395823430535,skewed_90_1,8,173507209024,guided,32,73890350.209716,1.353357,1000000,50000000,50000000,32768,8,guided,32,299606902.705409,0.333771,1.690905,59139913.789272
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,32,483480263.822881,0.206834,1000000,50000000,50000000,32768,4,guided,32,275987506.367488,0.362335,0.572615,174637257.560004
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,505814403.333442,0.197701,1000000,50000000,50000000,32768,4,guided,32,274731288.877236,0.363992,0.565163,176940200.364901
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,32,499963822.598420,0.200014,1000000,50000000,50000000,32768,8,guided,32,276556946.201644,0.361589,0.565190,176931652.908532
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,486969324.567519,0.205352,1000000,50000000,50000000,32768,8,guided,32,273532510.027708,0.365587,0.574250,174140063.787306
12610816366499644757,12079717592018431889,skewed_90_5,4,40578723119,guided,32,244086843.830123,0.409690,1000000,50000000,50000000,32768,4,guided,32,284526517.453280,0.351461,0.764614,130784969.140237
12610816366499644757,12079717592018431889,skewed_90_5,8,40578723119,guided,32,243162282.083494,0.411248,1000000,50000000,50000000,32768,4,guided,32,288135161.937031,0.347059,0.761578,131306329.866132
12610816366499644757,12079717592018431889,skewed_90_5,4,40578723119,guided,32,230865012.540102,0.433154,1000000,50000000,50000000,32768,8,guided,32,281189977.496355,0.355631,0.792239,126224542.440749
12610816366499644757,12079717592018431889,skewed_90_5,8,40578723119,guided,32,230280573.971779,0.434253,1000000,50000000,50000000,32768,8,guided,32,284821429.357737,0.351097,0.788586,126809304.606468
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,32,74954560.192680,1.334142,1000000,50000000,50000000,32768,4,guided,32,299178293.420411,0.334249,1.671892,59812461.452351
12347604091913951299,2033051395823430535,skewed_90_1,8,173507209024,guided,32,75078739.685641,1.331935,1000000,50000000,50000000,32768,4,guided,32,299574365.963848,0.333807,1.668968,59917269.198384
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,32,76311450.929168,1.310419,1000000,50000000,50000000,32768,8,guided,32,300220657.642447,0.333088,1.646663,60728878.693174
12347604091913951299,2033051395823430535,skewed_90_1,8,173507209024,guided,32,75039275.384071,1.332635,1000000,50000000,50000000,32768,8,guided,32,301693400.319303,0.331462,1.667350,59975392.603054
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,32,480553501.597934,0.208093,1000000,50000000,50000000,32768,4,guided,32,274170107.639429,0.364737,0.576042,173598475.282399
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,497634390.996721,0.200951,1000000,50000000,50000000,32768,4,guided,32,276580551.332953,0.361558,0.565736,176760917.770811
