checksum1,checksum2,dataset_type,join_chunk,join_count,join_schedule,join_task_grain,join_task_partitions,join_threads,join_throughput,join_time,max_key,nr,ns,offset_task_grain,offset_task_partitions,partition_block_size,partition_chunk,partition_schedule,partition_task_blocks,partition_task_grain,partition_threads,partition_throughput,partition_time,time_sec,total_throughput
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,2,2,32,511303371.002246,0.195579,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,290137349.675824,0.344664,0.543737,183912423.482857
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,4,32,490861797.591419,0.203723,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,279056119.838398,0.358351,0.565186,176933030.195599
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,2,2,32,495536315.180609,0.201802,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,281889891.381714,0.354748,0.560023,178563970.414608
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,4,32,498146571.662151,0.200744,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,289175676.259873,0.345811,0.550211,181748557.014646
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,2,2,32,272444512.418018,0.367047,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,293861392.789303,0.340296,0.710897,140667315.998492
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,4,32,237416265.879162,0.421201,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,287635354.660964,0.347662,0.772488,129451921.215685
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,2,2,32,282491641.182986,0.353993,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,291428743.830851,0.343137,0.700526,142749916.944508
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,4,32,249012316.058564,0.401587,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,293151933.967315,0.341120,0.745992,134049735.530935
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,2,2,32,88405615.121510,1.131150,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,318914442.671836,0.313564,1.447976,69061923.810133
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,4,32,47726590.182842,2.095268,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,307660964.485313,0.325033,2.423594,41261039.311331
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,2,2,32,75842395.726327,1.318524,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,304581470.074801,0.328319,1.650386,60591870.388554
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,4,32,47610009.516647,2.100399,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,296857330.875656,0.336862,2.440346,40977803.047138
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,2,2,32,497444744.830005,0.201027,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,284787770.426447,0.351139,0.555621,179978888.395256
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,4,32,492960603.950502,0.202856,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,291138058.238532,0.343480,0.549988,181822248.078874
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,2,2,32,480961770.685966,0.207917,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,278621145.749527,0.358910,0.570086,175412040.670823
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,4,32,490070600.644595,0.204052,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,283647436.836313,0.352550,0.560033,178561005.684528
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,2,2,32,266341265.236287,0.375458,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,290598886.767879,0.344117,0.722847,138341785.154189
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,4,32,245918260.348223,0.406639,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,286041072.331618,0.349600,0.759454,131673561.725264
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,2,2,32,278504606.225026,0.359060,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,298459015.254256,0.335054,0.697724,143323189.235633
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,4,32,237601420.675904,0.420873,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,294151826.508411,0.339960,0.764164,130861906.576375
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,2,2,32,79500438.790974,1.257855,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,307651458.188188,0.325043,1.586330,63038585.313925
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,4,32,47136075.579422,2.121517,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,307404039.337298,0.325305,2.450293,40811446.236063
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,2,2,32,81720183.825791,1.223688,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,306775878.930228,0.325971,1.552940,64393971.500531
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,4,32,47758746.341648,2.093857,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,306852607.740908,0.325889,2.423207,41267620.337689
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,2,2,32,474314359.513082,0.210831,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,279180275.644124,0.358191,0.572136,174783466.581938
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,4,32,483056130.708521,0.207015,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,284157570.432394,0.351917,0.562469,177787515.208130
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,2,2,32,494922261.282852,0.202052,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,278372127.239993,0.359231,0.564538,177136033.498625
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,4,32,487887530.823822,0.204965,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,283959925.641099,0.352162,0.560580,178386705.236611
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,2,2,32,282381326.565436,0.354131,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,298532370.052284,0.334972,0.692343,144437060.988365
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,4,32,229073687.606743,0.436541,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,293652349.355375,0.340539,0.780541,128116243.165729
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,2,2,32,277184124.271788,0.360771,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,289330415.419826,0.345626,0.709800,140884850.669633
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,4,32,247886573.738533,0.403410,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,285192627.592660,0.350640,0.757456,132020798.929588
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,2,2,32,88831448.609748,1.125727,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,298732034.431642,0.334748,1.463684,68320753.060763
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,4,32,47434653.695782,2.108163,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,318588120.397490,0.313885,2.425226,41233279.068555
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,2,2,32,85689513.278773,1.167004,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,306664889.981709,0.326089,1.496431,66825645.387424
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,4,32,47799960.751159,2.092052,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,297896459.607552,0.335687,2.431324,41129859.176403
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,2,2,32,491761231.334983,0.203351,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,278831354.013392,0.358640,0.565215,176923912.044523
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,4,32,493671732.607092,0.202564,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,293293768.815741,0.340955,0.546702,182915011.282437
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,2,2,32,485587395.859648,0.205936,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,277808141.522524,0.359961,0.569191,175687969.219711
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,4,32,480816850.798720,0.207979,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,277692622.828462,0.360110,0.571700,174917007.010919
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,2,2,32,259642649.872779,0.385145,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,298814065.221559,0.334656,0.722914,138329068.492754
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,4,32,248667844.428303,0.402143,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,287671290.100370,0.347619,0.752788,132839514.056479
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,2,2,32,276424796.024622,0.361762,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,289062225.304667,0.345946,0.710932,140660491.204664
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,4,32,244585525.208380,0.408855,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,293640672.813885,0.340552,0.752816,132834616.119102
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,2,2,32,84759445.565075,1.179810,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,307187802.437456,0.325534,1.508795,66278039.447493
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,4,32,47507929.497726,2.104912,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,306228628.501344,0.326553,2.434873,41069907.750658
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,2,2,32,82768629.526924,1.208187,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,297453931.203251,0.336187,1.547593,64616492.949612
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,4,32,47758166.682890,2.093883,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,308661071.172085,0.323980,2.421409,41298266.681607
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,2,2,32,500481194.600447,0.199808,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,278426443.682766,0.359161,0.562234,177861838.568487
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,4,32,477431467.709184,0.209454,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,283621729.059132,0.352582,0.565519,176828850.772783
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,2,2,32,495287029.079583,0.201903,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,279096431.736842,0.358299,0.563406,177491873.463396
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,4,32,494435892.218077,0.202251,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,282935883.234082,0.353437,0.559157,178840707.514983
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,2,2,32,272797437.928945,0.366572,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,297968985.747642,0.335605,0.705721,141699012.910100
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,4,32,239853577.830864,0.416921,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,287690997.062413,0.347595,0.767668,130264694.731332
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,2,2,32,268063022.639496,0.373047,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,283522484.075857,0.352706,0.728792,137213307.877663
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,4,32,234438862.341971,0.426550,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,300479291.836542,0.332802,0.762961,131068371.940427
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,2,2,32,86371477.845667,1.157790,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,297099072.408544,0.336588,1.497466,66779475.073941
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,4,32,46379603.037335,2.156120,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,308142614.728245,0.324525,2.484090,40256195.037878
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,2,2,32,89484402.041996,1.117513,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,306834751.189771,0.325908,1.446913,69112672.597172
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,4,32,47487010.378350,2.105839,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,320337869.330224,0.312170,2.421277,41300517.460210
