checksum1,checksum2,join_count,join_threads,join_throughput,join_time,max_key,nr,ns,partition_threads,partition_throughput,partition_time,time_sec,total_throughput
7970473340851283408,15465518843320288240,99994796,4,145398053.136727,0.137553,1000000,10000000,10000000,4,111505441.153881,0.179363,0.317530,62986202.130166
7970473340851283408,15465518843320288240,99994796,8,275667099.949757,0.072551,1000000,10000000,10000000,8,160223409.314501,0.124826,0.197951,101035077.933619
7970473340851283408,15465518843320288240,99994796,16,524428991.505236,0.038137,1000000,10000000,10000000,16,217612616.881412,0.091906,0.130769,152941507.998941
7970473340851283408,15465518843320288240,99994796,32,509744162.738066,0.039235,1000000,10000000,10000000,32,247890879.623965,0.080681,0.120569,165880438.741537
9484500805786004277,383871123996043952,400018499,4,165635099.710853,0.241495,1000000,20000000,20000000,4,109463629.635667,0.365418,0.607972,65792458.473062
9484500805786004277,383871123996043952,400018499,8,315510164.059189,0.126779,1000000,20000000,20000000,8,166961756.331320,0.239576,0.367365,108883600.916757
9484500805786004277,383871123996043952,400018499,16,404393303.549924,0.098914,1000000,20000000,20000000,16,229018874.391656,0.174658,0.274798,145561639.509798
9484500805786004277,383871123996043952,400018499,32,556450802.015603,0.071884,1000000,20000000,20000000,32,259321686.104449,0.154249,0.227846,175557412.558826
3575568045776244981,7674070805499128156,1599982716,4,159196238.720592,0.502524,1000000,40000000,40000000,4,109273681.339032,0.732107,1.236534,64696972.783149
3575568045776244981,7674070805499128156,1599982716,8,303336509.197777,0.263734,1000000,40000000,40000000,8,166080726.411926,0.481693,0.747470,107027742.160845
3575568045776244981,7674070805499128156,1599982716,16,564247999.223105,0.141782,1000000,40000000,40000000,16,230416262.836067,0.347198,0.491031,162922540.208053
3575568045776244981,7674070805499128156,1599982716,32,515576778.994116,0.155166,1000000,40000000,40000000,32,273032386.248502,0.293006,0.450198,177699761.145706
5005231824904745395,17428110892679703204,6400010645,4,167451036.661393,0.955503,1000000,80000000,80000000,4,106534956.740662,1.501854,2.460722,65021570.892512
5005231824904745395,17428110892679703204,6400010645,8,308909763.052684,0.517951,1000000,80000000,80000000,8,167265466.511904,0.956563,1.478026,108252495.517531
5005231824904745395,17428110892679703204,6400010645,16,594291555.209054,0.269228,1000000,80000000,80000000,16,232627647.756769,0.687794,0.960641,166555392.184822
5005231824904745395,17428110892679703204,6400010645,32,558454319.818133,0.286505,1000000,80000000,80000000,32,277026027.931931,0.577563,0.868213,184286521.511571
7970473340851283408,15465518843320288240,99994796,4,145958438.713070,0.137025,1000000,10000000,10000000,4,111516343.222323,0.179346,0.317046,63082421.831663
7970473340851283408,15465518843320288240,99994796,8,275480526.104464,0.072600,1000000,10000000,10000000,8,168162875.932048,0.118932,0.192122,104100262.457787
7970473340851283408,15465518843320288240,99994796,16,303283983.698718,0.065945,1000000,10000000,10000000,16,216767335.765318,0.092265,0.158863,125894278.157339
7970473340851283408,15465518843320288240,99994796,32,516924302.256402,0.038690,1000000,10000000,10000000,32,240778440.438977,0.083064,0.122471,163303939.667773
9484500805786004277,383871123996043952,400018499,4,164180792.387568,0.243634,1000000,20000000,20000000,4,110237112.980601,0.362854,0.607467,65847159.579045
9484500805786004277,383871123996043952,400018499,8,314836260.147774,0.127050,1000000,20000000,20000000,8,167199803.721897,0.239235,0.367299,108903054.964153
9484500805786004277,383871123996043952,400018499,16,594741917.430416,0.067256,1000000,20000000,20000000,16,226050853.208205,0.176951,0.245282,163077586.899905
9484500805786004277,383871123996043952,400018499,32,553746102.990185,0.072235,1000000,20000000,20000000,32,269444836.775286,0.148453,0.222041,180147160.924558
3575568045776244981,7674070805499128156,1599982716,4,157735304.819058,0.507179,1000000,40000000,40000000,4,108729199.388835,0.735773,1.244896,64262391.491864
3575568045776244981,7674070805499128156,1599982716,8,297702953.377186,0.268724,1000000,40000000,40000000,8,168357016.491822,0.475181,0.745970,107242896.718266
3575568045776244981,7674070805499128156,1599982716,16,569337692.836277,0.140514,1000000,40000000,40000000,16,231812740.425915,0.345106,0.487652,164051556.567779
3575568045776244981,7674070805499128156,1599982716,32,515835674.808757,0.155088,1000000,40000000,40000000,32,268903179.467787,0.297505,0.455010,175820137.225408
5005231824904745395,17428110892679703204,6400010645,4,169011931.176275,0.946679,1000000,80000000,80000000,4,106755326.841180,1.498754,2.448870,65336262.809538
5005231824904745395,17428110892679703204,6400010645,8,311500659.726432,0.513643,1000000,80000000,80000000,8,166423021.224219,0.961405,1.478607,108209939.705114
5005231824904745395,17428110892679703204,6400010645,16,604691177.218228,0.264598,1000000,80000000,80000000,16,232997113.461138,0.686704,0.954861,167563651.907930
5005231824904745395,17428110892679703204,6400010645,32,565081020.933800,0.283145,1000000,80000000,80000000,32,277218151.530790,0.577163,0.863971,185191367.846837
7970473340851283408,15465518843320288240,99994796,4,145156033.480976,0.137783,1000000,10000000,10000000,4,110869885.498389,0.180392,0.318752,62744688.559583
7970473340851283408,15465518843320288240,99994796,8,272854997.537108,0.073299,1000000,10000000,10000000,8,166664818.115339,0.120001,0.193903,103144457.191281
7970473340851283408,15465518843320288240,99994796,16,524001078.706220,0.038168,1000000,10000000,10000000,16,221746040.065720,0.090193,0.129098,154921396.288789
7970473340851283408,15465518843320288240,99994796,32,535468199.504578,0.037350,1000000,10000000,10000000,32,242367312.507395,0.082519,0.120598,165840727.067346
9484500805786004277,383871123996043952,400018499,4,163944899.619686,0.243984,1000000,20000000,20000000,4,109995089.290109,0.363653,0.608650,65719245.746271
9484500805786004277,383871123996043952,400018499,8,316108972.299311,0.126539,1000000,20000000,20000000,8,167114161.046673,0.239357,0.366793,109053263.502286
9484500805786004277,383871123996043952,400018499,16,590938115.278581,0.067689,1000000,20000000,20000000,16,230265392.348088,0.173713,0.242470,164968720.232906
9484500805786004277,383871123996043952,400018499,32,544156818.092324,0.073508,1000000,20000000,20000000,32,262986088.389226,0.152099,0.227071,176156536.802559
3575568045776244981,7674070805499128156,1599982716,4,159373747.464018,0.501965,1000000,40000000,40000000,4,106767975.721290,0.749288,1.253267,63833176.953492
3575568045776244981,7674070805499128156,1599982716,8,298351218.449952,0.268140,1000000,40000000,40000000,8,167651456.190651,0.477180,0.747281,107054803.663136
3575568045776244981,7674070805499128156,1599982716,16,568218353.727522,0.140791,1000000,40000000,40000000,16,233105140.532317,0.343193,0.485984,164614640.286791
3575568045776244981,7674070805499128156,1599982716,32,511244463.727852,0.156481,1000000,40000000,40000000,32,277375393.209254,0.288418,0.447053,178949611.363899
5005231824904745395,17428110892679703204,6400010645,4,166161575.322459,0.962918,1000000,80000000,80000000,4,107210654.792325,1.492389,2.458724,65074414.910041
5005231824904745395,17428110892679703204,6400010645,8,313842973.336626,0.509809,1000000,80000000,80000000,8,166567513.810026,0.960571,1.473949,108551933.427269
5005231824904745395,17428110892679703204,6400010645,16,598467606.938197,0.267349,1000000,80000000,80000000,16,232517625.660479,0.688120,0.959073,166827841.430324
5005231824904745395,17428110892679703204,6400010645,32,557383068.771835,0.287056,1000000,80000000,80000000,32,276813619.854562,0.578006,0.868762,184170213.989237
7970473340851283408,15465518843320288240,99994796,4,142501587.536177,0.140349,1000000,10000000,10000000,4,110832655.567345,0.180452,0.321444,62219225.400875
7970473340851283408,15465518843320288240,99994796,8,273058458.580067,0.073244,1000000,10000000,10000000,8,167062468.193709,0.119716,0.193435,103394116.858360
7970473340851283408,15465518843320288240,99994796,16,520110053.461181,0.038453,1000000,10000000,10000000,16,214125875.185730,0.093403,0.132446,151004693.240507
7970473340851283408,15465518843320288240,99994796,32,534045809.666862,0.037450,1000000,10000000,10000000,32,239832332.525957,0.083392,0.121520,164581561.280324
9484500805786004277,383871123996043952,400018499,4,166733361.657905,0.239904,1000000,20000000,20000000,4,110206382.845120,0.362955,0.603897,66236430.033854
9484500805786004277,383871123996043952,400018499,8,317157715.913017,0.126120,1000000,20000000,20000000,8,166889421.871834,0.239680,0.366748,109066659.185238
9484500805786004277,383871123996043952,400018499,16,588850513.366391,0.067929,1000000,20000000,20000000,16,229656399.755026,0.174173,0.243104,164538833.099946
9484500805786004277,383871123996043952,400018499,32,541820879.188087,0.073825,1000000,20000000,20000000,32,268831565.870732,0.148792,0.223702,178809470.734258
3575568045776244981,7674070805499128156,1599982716,4,158940724.206065,0.503332,1000000,40000000,40000000,4,108239516.201011,0.739102,1.244396,64288200.133580
3575568045776244981,7674070805499128156,1599982716,8,302137513.333194,0.264780,1000000,40000000,40000000,8,166021939.848514,0.481864,0.748577,106869422.089060
3575568045776244981,7674070805499128156,1599982716,16,570748730.230549,0.140167,1000000,40000000,40000000,16,232458121.714549,0.344148,0.486320,164500640.657315
3575568045776244981,7674070805499128156,1599982716,32,516298929.523253,0.154949,1000000,40000000,40000000,32,272873920.869137,0.293176,0.450146,177720050.959989
5005231824904745395,17428110892679703204,6400010645,4,170213908.436942,0.939994,1000000,80000000,80000000,4,107990700.770747,1.481609,2.425214,65973567.147279
5005231824904745395,17428110892679703204,6400010645,8,314428173.787115,0.508860,1000000,80000000,80000000,8,165708966.209277,0.965548,1.477892,108262308.458257
5005231824904745395,17428110892679703204,6400010645,16,590381683.496292,0.271011,1000000,80000000,80000000,16,232454634.197834,0.688306,0.963014,166145065.033890
5005231824904745395,17428110892679703204,6400010645,32,555909765.230594,0.287816,1000000,80000000,80000000,32,277710917.325393,0.576139,0.867647,184406713.059999
7970473340851283408,15465518843320288240,99994796,4,142537783.121354,0.140314,1000000,10000000,10000000,4,110451477.645778,0.181075,0.321953,62120925.621626
7970473340851283408,15465518843320288240,99994796,8,277824047.380338,0.071988,1000000,10000000,10000000,8,166652975.900811,0.120010,0.192521,103884506.523020
7970473340851283408,15465518843320288240,99994796,16,526788858.081829,0.037966,1000000,10000000,10000000,16,219349259.385462,0.091179,0.129903,153961200.420997
7970473340851283408,15465518843320288240,99994796,32,538400669.823169,0.037147,1000000,10000000,10000000,32,243968889.531954,0.081978,0.120102,166525565.230457
9484500805786004277,383871123996043952,400018499,4,164402149.690648,0.243306,1000000,20000000,20000000,4,110112951.367064,0.363263,0.607601,65832657.609733
9484500805786004277,383871123996043952,400018499,8,314117372.755239,0.127341,1000000,20000000,20000000,8,166176301.467881,0.240708,0.369090,108374692.139094
9484500805786004277,383871123996043952,400018499,16,586265990.919101,0.068228,1000000,20000000,20000000,16,228032648.450066,0.175413,0.244593,163537173.253476
9484500805786004277,383871123996043952,400018499,32,527708312.568867,0.075799,1000000,20000000,20000000,32,258520472.039946,0.154727,0.231625,172693253.947818
3575568045776244981,7674070805499128156,1599982716,4,161544869.069839,0.495218,1000000,40000000,40000000,4,109035451.998421,0.733706,1.230922,64991907.772491
3575568045776244981,7674070805499128156,1599982716,8,299662489.974661,0.266967,1000000,40000000,40000000,8,167505214.268374,0.477597,0.746528,107162767.405951
3575568045776244981,7674070805499128156,1599982716,16,559222052.792058,0.143056,1000000,40000000,40000000,16,231385605.307305,0.345743,0.490871,162975546.477106
3575568045776244981,7674070805499128156,1599982716,32,515899035.807990,0.155069,1000000,40000000,40000000,32,277680710.292882,0.288101,0.445314,179648664.433976
5005231824904745395,17428110892679703204,6400010645,4,166349184.384319,0.961832,1000000,80000000,80000000,4,108237894.550826,1.478225,2.443497,65479913.840035
