checksum1,checksum2,dataset_type,join_chunk,join_count,join_schedule,join_threads,join_throughput,join_time,max_key,mpi_active_ranks,mpi_nodes,mpi_partition_strategy,mpi_processes,mpi_world_size,nr,ns,partition_block_size,partition_chunk,partition_schedule,partition_threads,partition_throughput,partition_time,time_sec,total_throughput,verified
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,4,80987112.887025,1.234764,1000000,1,1,block,1,1,50000000,50000000,32768,4,guided,4,246119678.884115,0.406306,8.216431,12170733.760102,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,4,80808347.372657,1.237496,1000000,1,1,cyclic,1,1,50000000,50000000,32768,4,guided,4,253303272.986767,0.394784,6.576266,15206197.830756,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,16,100968524.733745,0.990408,1000000,1,1,block,1,1,50000000,50000000,32768,4,guided,4,246728703.815413,0.405303,7.976376,12537022.433157,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,16,89797104.316841,1.113622,1000000,1,1,cyclic,1,1,50000000,50000000,32768,4,guided,4,251433848.647505,0.397719,6.453697,15494995.612681,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,4,81041257.584768,1.233939,1000000,1,1,block,1,1,50000000,50000000,32768,4,guided,16,305032689.355821,0.327834,7.753397,12897573.031239,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,4,80363744.367344,1.244342,1000000,1,1,cyclic,1,1,50000000,50000000,32768,4,guided,16,305599291.048646,0.327226,6.513858,15351884.362525,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,16,97049900.267103,1.030398,1000000,1,1,block,1,1,50000000,50000000,32768,4,guided,16,305541423.981221,0.327288,7.928284,12613070.243139,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,16,95479395.920333,1.047346,1000000,1,1,cyclic,1,1,50000000,50000000,32768,4,guided,16,305292903.440500,0.327554,6.321690,15818554.977484,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,4,78993228.096431,1.265931,1000000,4,1,block,4,4,50000000,50000000,32768,4,guided,4,290930104.788308,0.343725,3.671316,27238191.199497,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,4,172712037.307564,0.578998,1000000,4,1,cyclic,4,4,50000000,50000000,32768,4,guided,4,650569845.964972,0.153711,2.127812,46996638.879839,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,16,89164167.969402,1.121527,1000000,4,1,block,4,4,50000000,50000000,32768,4,guided,4,252920827.091863,0.395381,3.589697,27857505.393485,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,16,52864042.568729,1.891645,1000000,4,1,cyclic,4,4,50000000,50000000,32768,4,guided,4,623823817.496421,0.160302,3.444425,29032418.331576,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,4,78564546.071413,1.272839,1000000,4,1,block,4,4,50000000,50000000,32768,4,guided,16,279126335.171185,0.358261,3.697344,27046444.047416,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,4,167082202.399302,0.598508,1000000,4,1,cyclic,4,4,50000000,50000000,32768,4,guided,16,596523474.164945,0.167638,2.154541,46413595.647184,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,16,84805975.183148,1.179162,1000000,4,1,block,4,4,50000000,50000000,32768,4,guided,16,310346213.108030,0.322221,3.568749,28021026.455675,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,16,52143807.308253,1.917773,1000000,4,1,cyclic,4,4,50000000,50000000,32768,4,guided,16,471496813.258861,0.212091,3.531349,28317789.157880,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,4,78166044.465311,1.279328,1000000,8,1,block,8,8,50000000,50000000,32768,4,guided,4,283082698.330395,0.353254,2.860877,34954320.828120,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,4,168731865.723845,0.592656,1000000,8,1,cyclic,8,8,50000000,50000000,32768,4,guided,4,586062309.844188,0.170630,1.532631,65247276.976297,false
