checksum1,checksum2,dataset_type,join_chunk,join_count,join_schedule,join_threads,join_throughput,join_time,max_key,mpi_active_ranks,mpi_nodes,mpi_partition_strategy,mpi_processes,mpi_world_size,nr,ns,partition_block_size,partition_chunk,partition_schedule,partition_threads,partition_throughput,partition_time,time_sec,total_throughput,verified
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,4,203237657.028998,0.492035,1000000,1,1,block,1,1,50000000,50000000,32768,4,guided,4,131425840.974626,0.760885,7.829727,12771837.490300,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,4,207261091.047677,0.482483,1000000,1,1,cyclic,1,1,50000000,50000000,32768,4,guided,4,128271647.670372,0.779596,6.206022,16113382.478137,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,16,350180695.593207,0.285567,1000000,1,1,block,1,1,50000000,50000000,32768,4,guided,4,138842449.189574,0.720241,7.586315,13181629.556383,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,16,338921233.733062,0.295054,1000000,1,1,cyclic,1,1,50000000,50000000,32768,4,guided,4,136051861.512045,0.735014,5.973451,16740741.826246,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,4,200944645.961826,0.497649,1000000,1,1,block,1,1,50000000,50000000,32768,4,guided,16,247934248.985174,0.403333,7.474980,13377961.334493,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,4,200060845.044961,0.499848,1000000,1,1,cyclic,1,1,50000000,50000000,32768,4,guided,16,252924983.162547,0.395374,5.842321,17116485.168851,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,16,323179726.256937,0.309425,1000000,1,1,block,1,1,50000000,50000000,32768,4,guided,16,253674573.936400,0.394206,7.278883,13738372.361486,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,16,338280813.037496,0.295612,1000000,1,1,cyclic,1,1,50000000,50000000,32768,4,guided,16,253034784.812396,0.395203,5.636360,17741945.403286,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,4,777378606.238850,0.128637,1000000,4,1,block,4,4,50000000,50000000,32768,4,guided,4,466337390.946144,0.214437,2.179485,45882404.534468,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,4,514463229.390798,0.194377,1000000,4,1,cyclic,4,4,50000000,50000000,32768,4,guided,4,485286903.802138,0.206064,1.775122,56334155.895046,false
