checksum1,checksum2,dataset_type,join_count,join_throughput,join_time,max_key,mpi_active_ranks,mpi_nodes,mpi_partition_strategy,mpi_processes,mpi_world_size,nr,ns,partition_throughput,partition_time,time_sec,total_throughput,verified
6185417096973469475,16931092769743058723,uniform,2499986166,66303578.036926,1.508214,1000000,1,1,block,1,1,50000000,50000000,52443659.378254,1.906808,10.043813,9956378.425695,false
6185417096973469475,16931092769743058723,uniform,2499986166,66315798.013660,1.507936,1000000,1,1,cyclic,1,1,50000000,50000000,52047295.358122,1.921329,8.255049,12113798.080854,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,59756206.799662,1.673466,1000000,1,1,block,1,1,50000000,50000000,89371266.029669,1.118928,9.425216,10609836.886672,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,60901194.026190,1.642004,1000000,1,1,cyclic,1,1,50000000,50000000,89099109.344664,1.122346,7.595672,13165392.345564,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,43437198.312960,2.302174,1000000,1,1,block,1,1,50000000,50000000,125983427.257593,0.793755,9.716293,10291991.249515,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,43406358.761145,2.303810,1000000,1,1,cyclic,1,1,50000000,50000000,126170393.566167,0.792579,7.915952,12632719.152076,false
6185417096973469475,16931092769743058723,uniform,2499986166,217244020.660544,0.460312,1000000,4,1,block,4,4,50000000,50000000,209089610.419675,0.478264,2.744717,36433630.035648,false
6185417096973469475,16931092769743058723,uniform,2499986166,242382156.701724,0.412572,1000000,4,1,cyclic,4,4,50000000,50000000,219882654.691078,0.454788,2.188609,45691126.747876,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,56758636.102493,1.761846,1000000,4,1,block,4,4,50000000,50000000,149095639.712408,0.670710,4.505453,22195325.841572,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,183566766.617787,0.544761,1000000,4,1,cyclic,4,4,50000000,50000000,407667194.939034,0.245298,2.157969,46339878.528458,false
