checksum1,checksum2,dataset_type,join_chunk,join_count,join_schedule,join_threads,join_throughput,join_time,max_key,mpi_nodes,mpi_partition_strategy,mpi_processes,nr,ns,partition_block_size,partition_chunk,partition_schedule,partition_threads,partition_throughput,partition_time,time_sec,total_throughput,verified
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,32,497218594.267519,0.201119,1000000,1,block,1,50000000,50000000,32768,4,guided,32,276698954.049116,0.361404,0.566077,176654464.618702,false
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,496712243.679265,0.201324,1000000,1,block,1,50000000,50000000,32768,4,guided,32,273471719.388409,0.365669,0.570354,175329856.469404,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,32,491356950.105815,0.203518,1000000,1,block,1,50000000,50000000,32768,8,guided,32,278584489.534577,0.358958,0.565748,176757278.188413,false
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,501253053.010294,0.199500,1000000,1,block,1,50000000,50000000,32768,8,guided,32,273402047.521042,0.365762,0.568528,175892737.424896,false
12610816366499644757,12079717592018431889,skewed_90_5,4,40578723119,guided,32,229179358.123867,0.436339,1000000,1,block,1,50000000,50000000,32768,4,guided,32,285217569.363927,0.350610,0.790118,126563319.551619,false
12610816366499644757,12079717592018431889,skewed_90_5,8,40578723119,guided,32,236128773.005869,0.423498,1000000,1,block,1,50000000,50000000,32768,4,guided,32,284847512.265740,0.351065,0.777701,128584202.697698,false
12610816366499644757,12079717592018431889,skewed_90_5,4,40578723119,guided,32,249015884.975868,0.401581,1000000,1,block,1,50000000,50000000,32768,8,guided,32,283340889.675688,0.352932,0.758175,131895730.051588,false
12610816366499644757,12079717592018431889,skewed_90_5,8,40578723119,guided,32,248055272.056157,0.403136,1000000,1,block,1,50000000,50000000,32768,8,guided,32,282498389.687721,0.353984,0.760269,131532416.120769,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,32,74065813.456396,1.350151,1000000,1,block,1,50000000,50000000,32768,4,guided,32,300921864.019421,0.332312,1.685781,59319686.436540,false
12347604091913951299,2033051395823430535,skewed_90_1,8,173507209024,guided,32,75920012.110980,1.317176,1000000,1,block,1,50000000,50000000,32768,4,guided,32,298277618.714924,0.335258,1.655761,60395193.970411,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,32,75461919.507953,1.325172,1000000,1,block,1,50000000,50000000,32768,8,guided,32,297729532.098541,0.335875,1.664603,60074390.066829,false
12347604091913951299,2033051395823430535,skewed_90_1,8,173507209024,guided,32,75754042.609373,1.320062,1000000,1,block,1,50000000,50000000,32768,8,guided,32,297443476.361553,0.336198,1.659811,60247808.746804,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,32,507991099.824079,0.196854,1000000,1,block,1,50000000,50000000,32768,4,guided,32,273011599.995883,0.366285,0.566408,176551242.244553,false
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,490847041.635611,0.203729,1000000,1,block,1,50000000,50000000,32768,4,guided,32,274096547.415564,0.364835,0.571785,174891011.163922,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,32,497085233.876136,0.201173,1000000,1,block,1,50000000,50000000,32768,8,guided,32,274675399.890521,0.364066,0.568459,175914060.843651,false
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,494552754.817305,0.202203,1000000,1,block,1,50000000,50000000,32768,8,guided,32,277459177.595175,0.360413,0.565838,176729013.966424,false
12610816366499644757,12079717592018431889,skewed_90_5,4,40578723119,guided,32,234797282.081862,0.425899,1000000,1,block,1,50000000,50000000,32768,4,guided,32,285769003.523948,0.349933,0.778976,128373588.424956,false
12610816366499644757,12079717592018431889,skewed_90_5,8,40578723119,guided,32,247121125.481788,0.404660,1000000,1,block,1,50000000,50000000,32768,4,guided,32,285994874.954125,0.349657,0.757828,131956055.962565,false
12610816366499644757,12079717592018431889,skewed_90_5,4,40578723119,guided,32,240323634.860713,0.416106,1000000,1,block,1,50000000,50000000,32768,8,guided,32,282821618.844238,0.353580,0.772947,129374910.087518,false
12610816366499644757,12079717592018431889,skewed_90_5,8,40578723119,guided,32,245179064.488118,0.407865,1000000,1,block,1,50000000,50000000,32768,8,guided,32,282322573.050967,0.354205,0.765200,130684811.787171,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,32,74663488.625060,1.339343,1000000,1,block,1,50000000,50000000,32768,4,guided,32,295390764.172579,0.338535,1.681337,59476486.741473,false
12347604091913951299,2033051395823430535,skewed_90_1,8,173507209024,guided,32,76757833.320386,1.302799,1000000,1,block,1,50000000,50000000,32768,4,guided,32,298318235.264184,0.335212,1.641522,60919065.810601,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,32,75735427.815059,1.320386,1000000,1,block,1,50000000,50000000,32768,8,guided,32,299894821.651338,0.333450,1.657017,60349393.923915,false
12347604091913951299,2033051395823430535,skewed_90_1,8,173507209024,guided,32,71634618.683156,1.395973,1000000,1,block,1,50000000,50000000,32768,8,guided,32,300371490.539083,0.332921,1.732145,57731876.159038,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,32,477653631.125864,0.209357,1000000,1,block,1,50000000,50000000,32768,4,guided,32,277704938.597917,0.360094,0.572638,174630396.647289,false
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,494682963.739958,0.202150,1000000,1,block,1,50000000,50000000,32768,4,guided,32,274044578.509363,0.364904,0.570284,175351349.458736,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,32,492113179.000821,0.203205,1000000,1,block,1,50000000,50000000,32768,8,guided,32,275508466.388963,0.362965,0.569366,175633949.413229,false
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,504796334.624631,0.198100,1000000,1,block,1,50000000,50000000,32768,8,guided,32,275169751.365918,0.363412,0.564852,177037500.579138,false
12610816366499644757,12079717592018431889,skewed_90_5,4,40578723119,guided,32,248356870.920613,0.402646,1000000,1,block,1,50000000,50000000,32768,4,guided,32,279391247.332967,0.357921,0.763774,130928795.990085,false
12610816366499644757,12079717592018431889,skewed_90_5,8,40578723119,guided,32,238453913.413062,0.419368,1000000,1,block,1,50000000,50000000,32768,4,guided,32,283285885.697170,0.353000,0.775610,128930829.101128,false
12610816366499644757,12079717592018431889,skewed_90_5,4,40578723119,guided,32,247802569.090744,0.403547,1000000,1,block,1,50000000,50000000,32768,8,guided,32,282145735.511118,0.354427,0.761420,131333562.846419,false
12610816366499644757,12079717592018431889,skewed_90_5,8,40578723119,guided,32,244162271.333328,0.409564,1000000,1,block,1,50000000,50000000,32768,8,guided,32,283228204.553902,0.353072,0.765973,130552936.060437,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,32,75828179.972142,1.318771,1000000,1,block,1,50000000,50000000,32768,4,guided,32,299909805.436868,0.333434,1.655354,60410056.968454,false
12347604091913951299,2033051395823430535,skewed_90_1,8,173507209024,guided,32,72827192.920899,1.373113,1000000,1,block,1,50000000,50000000,32768,4,guided,32,299574202.144474,0.333807,1.710073,58477048.329604,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,32,74930948.206600,1.334562,1000000,1,block,1,50000000,50000000,32768,8,guided,32,298330396.193229,0.335199,1.673051,59771032.012922,false
12347604091913951299,2033051395823430535,skewed_90_1,8,173507209024,guided,32,74330763.490961,1.345338,1000000,1,block,1,50000000,50000000,32768,8,guided,32,299843160.517471,0.333508,1.682039,59451640.974348,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,32,509468022.985968,0.196283,1000000,1,block,1,50000000,50000000,32768,4,guided,32,276867954.059811,0.361183,0.560652,178363672.448454,false
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,488440680.227936,0.204733,1000000,1,block,1,50000000,50000000,32768,4,guided,32,275309510.500553,0.363228,0.571405,175007248.411282,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,32,494484510.697599,0.202231,1000000,1,block,1,50000000,50000000,32768,8,guided,32,276525884.410553,0.361630,0.567101,176335447.988761,false
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,495580072.410858,0.201784,1000000,1,block,1,50000000,50000000,32768,8,guided,32,277414383.081727,0.360472,0.565695,176773661.564020,false
12610816366499644757,12079717592018431889,skewed_90_5,4,40578723119,guided,32,233163409.423046,0.428884,1000000,1,block,1,50000000,50000000,32768,4,guided,32,284129538.589486,0.351952,0.784150,127526647.125932,false
12610816366499644757,12079717592018431889,skewed_90_5,8,40578723119,guided,32,231369318.416201,0.432209,1000000,1,block,1,50000000,50000000,32768,4,guided,32,281452490.127633,0.355300,0.790661,126476376.492434,false
12610816366499644757,12079717592018431889,skewed_90_5,4,40578723119,guided,32,246729828.635678,0.405302,1000000,1,block,1,50000000,50000000,32768,8,guided,32,283794385.436260,0.352368,0.761196,131372258.095418,false
12610816366499644757,12079717592018431889,skewed_90_5,8,40578723119,guided,32,237197691.752759,0.421589,1000000,1,block,1,50000000,50000000,32768,8,guided,32,283664405.083516,0.352529,0.777478,128620942.668036,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,32,76162921.079394,1.312975,1000000,1,block,1,50000000,50000000,32768,4,guided,32,299941144.883914,0.333399,1.649718,60616428.524758,false
12347604091913951299,2033051395823430535,skewed_90_1,8,173507209024,guided,32,75777632.920344,1.319651,1000000,1,block,1,50000000,50000000,32768,4,guided,32,297750327.532014,0.335852,1.659037,60275922.037429,false
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,32,74350937.718882,1.344973,1000000,1,block,1,50000000,50000000,32768,8,guided,32,299202680.020401,0.334222,1.682716,59427743.998001,false
12347604091913951299,2033051395823430535,skewed_90_1,8,173507209024,guided,32,74016783.002335,1.351045,1000000,1,block,1,50000000,50000000,32768,8,guided,32,297995100.892709,0.335576,1.689987,59172057.365261,false
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,32,485303862.960481,0.206056,1000000,1,block,1,50000000,50000000,32768,4,guided,32,273315793.745756,0.365877,0.575406,173790342.512289,false
