checksum1,checksum2,dataset_type,join_chunk,join_count,join_schedule,join_threads,join_throughput,join_time,max_key,nr,ns,partition_block_size,partition_chunk,partition_schedule,partition_threads,partition_throughput,partition_time,time_sec,total_throughput
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,32,455592476.188212,0.219494,1000000,50000000,50000000,32768,4,guided,32,275559088.304858,0.362899,0.585689,170739223.541905
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,487272054.779571,0.205224,1000000,50000000,50000000,32768,4,guided,32,274977168.334214,0.363667,0.572106,174792661.360470
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,32,453183423.490685,0.220661,1000000,50000000,50000000,32768,8,guided,32,275306833.757620,0.363231,0.587218,170294618.165680
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,489801041.689646,0.204165,1000000,50000000,50000000,32768,8,guided,32,276155885.331930,0.362114,0.569464,175603811.208865
12610816366499644757,12079717592018431889,skewed_90_5,4,40578723119,guided,32,98017948.878575,1.020221,1000000,50000000,50000000,32768,4,guided,32,286726018.376326,0.348765,1.372412,72864390.510407
12610816366499644757,12079717592018431889,skewed_90_5,8,40578723119,guided,32,98902783.918061,1.011094,1000000,50000000,50000000,32768,4,guided,32,283999160.980081,0.352114,1.366454,73182115.288134
12610816366499644757,12079717592018431889,skewed_90_5,4,40578723119,guided,32,106348562.394394,0.940304,1000000,50000000,50000000,32768,8,guided,32,283841762.411837,0.352309,1.295750,77175396.166121
12610816366499644757,12079717592018431889,skewed_90_5,8,40578723119,guided,32,108150040.407479,0.924641,1000000,50000000,50000000,32768,8,guided,32,282991094.453482,0.353368,1.281071,78059696.677926
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,32,44923428.047811,2.226010,1000000,50000000,50000000,32768,4,guided,32,299092816.654783,0.334344,2.563542,39008528.256700
12347604091913951299,2033051395823430535,skewed_90_1,8,173507209024,guided,32,44907704.865081,2.226789,1000000,50000000,50000000,32768,4,guided,32,299724573.420644,0.333640,2.563860,39003696.052163
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,32,44585422.513142,2.242886,1000000,50000000,50000000,32768,8,guided,32,301879967.843459,0.331257,2.577330,38799845.537461
12347604091913951299,2033051395823430535,skewed_90_1,8,173507209024,guided,32,44549083.714854,2.244715,1000000,50000000,50000000,32768,8,guided,32,299616597.218894,0.333760,2.581937,38730605.902252
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,32,449668687.032817,0.222386,1000000,50000000,50000000,32768,4,guided,32,277508723.028156,0.360349,0.586037,170637555.964539
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,476155960.710047,0.210015,1000000,50000000,50000000,32768,4,guided,32,275196045.901845,0.363377,0.576663,173411614.071876
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,32,451202318.887040,0.221630,1000000,50000000,50000000,32768,8,guided,32,277336475.899596,0.360573,0.585418,170818153.005537
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,491874002.776559,0.203304,1000000,50000000,50000000,32768,8,guided,32,275907945.379868,0.362440,0.569022,175740251.563689
12610816366499644757,12079717592018431889,skewed_90_5,4,40578723119,guided,32,103262021.860452,0.968410,1000000,50000000,50000000,32768,4,guided,32,281603529.927060,0.355109,1.326815,75368468.667580
12610816366499644757,12079717592018431889,skewed_90_5,8,40578723119,guided,32,98200257.397753,1.018327,1000000,50000000,50000000,32768,4,guided,32,283241102.909131,0.353056,1.374617,72747515.368369
12610816366499644757,12079717592018431889,skewed_90_5,4,40578723119,guided,32,104377712.864245,0.958059,1000000,50000000,50000000,32768,8,guided,32,279986912.445044,0.357160,1.318474,75845262.703784
12610816366499644757,12079717592018431889,skewed_90_5,8,40578723119,guided,32,103694820.159432,0.964368,1000000,50000000,50000000,32768,8,guided,32,281218068.640098,0.355596,1.323418,75561889.455284
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,32,44431064.655318,2.250678,1000000,50000000,50000000,32768,4,guided,32,299372592.796006,0.334032,2.588232,38636405.700440
12347604091913951299,2033051395823430535,skewed_90_1,8,173507209024,guided,32,44570987.560052,2.243612,1000000,50000000,50000000,32768,4,guided,32,299243065.208279,0.334176,2.580846,38746982.607401
12347604091913951299,2033051395823430535,skewed_90_1,4,173507209024,guided,32,44568105.523985,2.243757,1000000,50000000,50000000,32768,8,guided,32,298629678.856969,0.334863,2.581998,38729698.630116
12347604091913951299,2033051395823430535,skewed_90_1,8,173507209024,guided,32,44872457.025587,2.228539,1000000,50000000,50000000,32768,8,guided,32,300692677.986945,0.332565,2.564419,38995195.061004
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,32,457659990.413256,0.218503,1000000,50000000,50000000,32768,4,guided,32,279690632.168210,0.357538,0.579227,172643857.829994
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,486672343.639858,0.205477,1000000,50000000,50000000,32768,4,guided,32,274969273.118141,0.363677,0.572331,174724209.140217
6185417096973469475,16931092769743058723,uniform,4,2499986166,guided,32,456610455.716141,0.219005,1000000,50000000,50000000,32768,8,guided,32,275664973.933486,0.362759,0.585204,170880447.573285
6185417096973469475,16931092769743058723,uniform,8,2499986166,guided,32,492226166.092323,0.203159,1000000,50000000,50000000,32768,8,guided,32,274774439.112197,0.363935,0.570555,175267884.330719
12610816366499644757,12079717592018431889,skewed_90_5,4,40578723119,guided,32,102054129.606962,0.979872,1000000,50000000,50000000,32768,4,guided,32,281889334.867684,0.354749,1.337713,74754442.232053
12610816366499644757,12079717592018431889,skewed_90_5,8,40578723119,guided,32,104550416.174876,0.956476,1000000,50000000,50000000,32768,4,guided,32,283620191.775040,0.352584,1.312244,76205333.700002
12610816366499644757,12079717592018431889,skewed_90_5,4,40578723119,guided,32,100658161.930451,0.993461,1000000,50000000,50000000,32768,8,guided,32,283217620.173336,0.353085,1.349645,74093574.708362
