checksum1,checksum2,dataset_type,join_chunk,join_count,join_schedule,join_task_grain,join_task_partitions,join_threads,join_throughput,join_time,max_key,nr,ns,offset_task_grain,offset_task_partitions,partition_block_size,partition_chunk,partition_schedule,partition_task_blocks,partition_task_grain,partition_threads,partition_throughput,partition_time,time_sec,total_throughput
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,2,2,32,506626304.477711,0.197384,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,288546283.643906,0.346565,0.547149,182765647.137684
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,4,32,481808955.817744,0.207551,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,278231990.472953,0.359412,0.570110,175404831.061718
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,2,2,32,491466413.842670,0.203473,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,282972762.893990,0.353391,0.560131,178529706.232523
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,4,32,497454083.121233,0.201024,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,280727320.704350,0.356218,0.560638,178368233.018187
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,2,2,32,360161053.375406,0.277654,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,294584577.081860,0.339461,0.620629,161126916.383481
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,4,32,193424514.412773,0.516998,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,290835394.499582,0.343837,0.864358,115692842.543552
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,2,2,32,346697111.021607,0.288436,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,288497090.750347,0.346624,0.638346,156654858.177917
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,4,32,197156816.033037,0.507210,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,289618563.176735,0.345282,0.855988,116824038.194813
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,2,2,32,66968720.567530,1.493234,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,300994102.438535,0.332232,1.829111,54671375.843737
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,4,32,44531359.001570,2.245609,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,298194832.075221,0.335351,2.584709,38689074.419237
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,2,2,32,66850242.305973,1.495881,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,308692147.071874,0.323947,1.823267,54846606.376822
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,4,32,44810927.528968,2.231599,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,298205919.538806,0.335339,2.570002,38910471.314120
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,2,2,32,488895400.967036,0.204543,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,291105484.851365,0.343518,0.551205,181420671.856780
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,4,32,509940950.786598,0.196101,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,289771903.098609,0.345099,0.544380,183695092.900521
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,2,2,32,503508603.148318,0.198606,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,276685173.058044,0.361422,0.563876,177343985.736133
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,4,32,514332472.176545,0.194427,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,288331066.552779,0.346824,0.544911,183516077.713470
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,2,2,32,340965015.919591,0.293285,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,285374395.453493,0.350417,0.646796,154608258.236609
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,4,32,189621388.818359,0.527367,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,299411230.484764,0.333989,0.864881,115622905.971121
