checksum1,checksum2,dataset_type,join_chunk,join_count,join_schedule,join_task_grain,join_threads,join_throughput,join_time,max_key,nr,ns,offset_task_grain,partition_block_size,partition_chunk,partition_schedule,partition_task_grain,partition_threads,partition_throughput,partition_time,time_sec,total_throughput
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,491755582.859489,0.203353,1000000,50000000,50000000,2,32768,0,auto,2,64,283600376.386457,0.352609,0.559438,178750951.852945
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,490716780.732280,0.203784,1000000,50000000,50000000,2,32768,0,auto,2,64,278858703.547279,0.358605,0.565575,176811277.409662
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,482470292.589468,0.207267,1000000,50000000,50000000,2,32768,0,auto,4,64,277843173.049245,0.359915,0.570314,175341888.504082
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,504740200.684070,0.198122,1000000,50000000,50000000,2,32768,0,auto,4,64,284353177.200557,0.351675,0.553265,180745208.329347
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,32,185264526.250490,0.539769,1000000,50000000,50000000,2,32768,0,auto,2,64,289784913.212138,0.345084,0.888206,112586449.540977
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,8,32,104110631.029971,0.960517,1000000,50000000,50000000,2,32768,0,auto,2,64,289292545.971825,0.345671,1.309593,76359608.996114
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,32,192282964.630023,0.520067,1000000,50000000,50000000,2,32768,0,auto,4,64,299954923.310852,0.333383,0.856636,116735635.601919
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,8,32,103349147.732596,0.967594,1000000,50000000,50000000,2,32768,0,auto,4,64,289903108.796925,0.344943,1.315777,76000704.131094
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,32,44871665.682847,2.228578,1000000,50000000,50000000,2,32768,0,auto,2,64,316319544.946529,0.316136,2.548248,39242652.119168
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,8,32,44556508.479482,2.244341,1000000,50000000,50000000,2,32768,0,auto,2,64,304929875.108292,0.327944,2.575637,38825345.579918
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,32,44312810.301192,2.256684,1000000,50000000,50000000,2,32768,0,auto,4,64,298009723.403461,0.335560,2.595721,38524934.784853
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,8,32,44875977.301325,2.228364,1000000,50000000,50000000,2,32768,0,auto,4,64,297970781.740866,0.335603,2.567135,38953935.731242
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,491988575.276195,0.203257,1000000,50000000,50000000,2,32768,0,auto,2,64,277167507.455379,0.360793,0.567753,176132824.087127
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,494191232.710608,0.202351,1000000,50000000,50000000,2,32768,0,auto,2,64,290878712.067299,0.343786,0.549810,181881174.957373
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,502558151.159784,0.198982,1000000,50000000,50000000,2,32768,0,auto,4,64,276713806.086869,0.361384,0.563551,177446144.507410
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,486266649.240186,0.205648,1000000,50000000,50000000,2,32768,0,auto,4,64,288419631.149701,0.346717,0.555613,179981245.132591
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,32,192056331.524889,0.520681,1000000,50000000,50000000,2,32768,0,auto,2,64,289546140.606801,0.345368,0.869263,115040039.231186
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,8,32,96877519.793326,1.032231,1000000,50000000,50000000,2,32768,0,auto,2,64,288173653.952956,0.347013,1.382661,72324325.136398
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,32,185410859.398923,0.539343,1000000,50000000,50000000,2,32768,0,auto,4,64,299595149.074659,0.333784,0.876417,114100980.124628
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,8,32,100627228.937036,0.993767,1000000,50000000,50000000,2,32768,0,auto,4,64,284616015.969727,0.351351,1.348190,74173497.028756
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,32,44500630.360840,2.247159,1000000,50000000,50000000,2,32768,0,auto,2,64,317024299.371997,0.315433,2.565754,38974896.524283
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,8,32,44450179.519156,2.249710,1000000,50000000,50000000,2,32768,0,auto,2,64,297824193.457374,0.335769,2.588589,38631082.268896
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,32,44820908.977376,2.231102,1000000,50000000,50000000,2,32768,0,auto,4,64,319000548.800988,0.313479,2.547723,39250736.838537
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,8,32,43810893.556138,2.282537,1000000,50000000,50000000,2,32768,0,auto,4,64,297743286.415234,0.335860,2.621571,38145062.755012
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,508481899.734476,0.196664,1000000,50000000,50000000,2,32768,0,auto,2,64,290207972.495205,0.344580,0.544481,183661115.886878
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,475308953.393543,0.210389,1000000,50000000,50000000,2,32768,0,auto,2,64,277710785.164291,0.360087,0.573582,174343016.442824
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,478680354.855013,0.208908,1000000,50000000,50000000,2,32768,0,auto,4,64,283681432.321695,0.352508,0.564889,177026009.896438
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,506808702.379727,0.197313,1000000,50000000,50000000,2,32768,0,auto,4,64,277460407.913602,0.360412,0.560900,178284823.806695
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,32,188131962.017530,0.531542,1000000,50000000,50000000,2,32768,0,auto,2,64,298655278.618917,0.334834,0.869670,114986087.043363
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,8,32,101014644.251758,0.989955,1000000,50000000,50000000,2,32768,0,auto,2,64,284497004.670847,0.351498,1.344646,74369005.403879
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,32,193218656.076573,0.517548,1000000,50000000,50000000,2,32768,0,auto,4,64,284626907.334221,0.351337,0.871978,114681846.350195
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,8,32,105158884.311321,0.950942,1000000,50000000,50000000,2,32768,0,auto,4,64,298300171.417710,0.335233,1.289264,77563607.149733
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,32,44571769.813065,2.243573,1000000,50000000,50000000,2,32768,0,auto,2,64,297610307.540070,0.336010,2.582788,38717853.789707
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,8,32,44587384.129929,2.242787,1000000,50000000,50000000,2,32768,0,auto,2,64,297176908.852603,0.336500,2.582510,38722020.147735
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,32,44774294.222899,2.233424,1000000,50000000,50000000,2,32768,0,auto,4,64,319161269.364520,0.313321,2.549914,39217014.006622
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,8,32,44529858.817521,2.245684,1000000,50000000,50000000,2,32768,0,auto,4,64,317880273.467399,0.314584,2.563462,39009749.094272
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,477567777.513268,0.209394,1000000,50000000,50000000,2,32768,0,auto,2,64,289184645.151485,0.345800,0.558401,179082707.023037
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,475724981.150293,0.210205,1000000,50000000,50000000,2,32768,0,auto,2,64,278100586.014391,0.359582,0.573576,174344927.820179
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,472954722.945308,0.211437,1000000,50000000,50000000,2,32768,0,auto,4,64,276954333.105602,0.361070,0.576128,173572396.219648
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,491570345.156199,0.203430,1000000,50000000,50000000,2,32768,0,auto,4,64,276077763.343090,0.362217,0.568851,175793066.970545
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,32,191779478.272544,0.521432,1000000,50000000,50000000,2,32768,0,auto,2,64,297646940.466644,0.335969,0.860706,116183647.611438
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,8,32,104402770.147499,0.957829,1000000,50000000,50000000,2,32768,0,auto,2,64,288703004.533469,0.346377,1.307578,76477250.738176
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,32,186643750.434781,0.535780,1000000,50000000,50000000,2,32768,0,auto,4,64,283119078.784702,0.353208,0.892061,112099906.878747
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,8,32,104409745.409033,0.957765,1000000,50000000,50000000,2,32768,0,auto,4,64,299342653.859839,0.334065,1.294919,77224920.888858
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,32,44948325.947751,2.224777,1000000,50000000,50000000,2,32768,0,auto,2,64,296203281.428247,0.337606,2.565471,38979200.233988
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,8,32,44456295.019975,2.249400,1000000,50000000,50000000,2,32768,0,auto,2,64,296789377.581984,0.336939,2.589497,38617545.797712
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,32,44607023.582825,2.241799,1000000,50000000,50000000,2,32768,0,auto,4,64,319955290.366248,0.312544,2.557530,39100229.582711
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,8,32,44531786.293284,2.245587,1000000,50000000,50000000,2,32768,0,auto,4,64,308802786.165199,0.323831,2.572942,38866013.519425
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,512784647.910664,0.195014,1000000,50000000,50000000,2,32768,0,auto,2,64,278040492.719626,0.359660,0.557765,179287008.167535
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,504714396.928568,0.198132,1000000,50000000,50000000,2,32768,0,auto,2,64,277168964.137597,0.360791,0.562105,177902740.375530
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,517884299.941655,0.193093,1000000,50000000,50000000,2,32768,0,auto,4,64,288878938.972010,0.346166,0.542446,184350246.509447
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,517415569.183145,0.193268,1000000,50000000,50000000,2,32768,0,auto,4,64,281802220.161218,0.354859,0.551553,181306190.023329
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,32,192286509.973287,0.520057,1000000,50000000,50000000,2,32768,0,auto,2,64,288831525.218526,0.346223,0.869479,115011443.219630
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,8,32,97909947.242372,1.021347,1000000,50000000,50000000,2,32768,0,auto,2,64,287278295.050013,0.348095,1.372826,72842431.059872
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,32,193098923.021513,0.517869,1000000,50000000,50000000,2,32768,0,auto,4,64,283768363.038357,0.352400,0.873464,114486683.161604
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,8,32,99676416.002576,1.003246,1000000,50000000,50000000,2,32768,0,auto,4,64,299242891.743462,0.334177,1.340676,74589223.062483
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,32,44948878.693197,2.224750,1000000,50000000,50000000,2,32768,0,auto,2,64,316151023.439078,0.316305,2.544293,39303649.881084
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,8,32,44744319.655470,2.234921,1000000,50000000,50000000,2,32768,0,auto,2,64,316287093.342869,0.316168,2.554281,39149956.288007
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,32,44899125.534251,2.227215,1000000,50000000,50000000,2,32768,0,auto,4,64,297257119.912456,0.336409,2.566766,38959530.987462
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,8,32,44754297.937902,2.234422,1000000,50000000,50000000,2,32768,0,auto,4,64,306688739.398257,0.326063,2.563838,39004020.731078
