checksum1,checksum2,dataset_type,join_chunk,join_count,join_schedule,join_task_grain,join_threads,join_throughput,join_time,max_key,nr,ns,offset_task_grain,partition_block_size,partition_chunk,partition_schedule,partition_task_grain,partition_threads,partition_throughput,partition_time,time_sec,total_throughput
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,512863377.276264,0.194984,1000000,50000000,50000000,2,32768,0,auto,2,64,283139313.767074,0.353183,0.551605,181288991.274675
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,506916745.295423,0.197271,1000000,50000000,50000000,2,32768,0,auto,2,64,277745783.519178,0.360041,0.560503,178411252.275249
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,483362604.059814,0.206884,1000000,50000000,50000000,2,32768,0,auto,4,64,282749469.775204,0.353670,0.564194,177244061.604407
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,490691404.191037,0.203794,1000000,50000000,50000000,2,32768,0,auto,4,64,276561376.843179,0.361583,0.568602,175870076.801766
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,32,197263582.109354,0.506936,1000000,50000000,50000000,2,32768,0,auto,2,64,293020637.629988,0.341273,0.851589,117427565.390739
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,8,32,120882019.390022,0.827253,1000000,50000000,50000000,2,32768,0,auto,2,64,298619373.741499,0.334874,1.165273,85816814.310648
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,32,203854866.304743,0.490545,1000000,50000000,50000000,2,32768,0,auto,4,64,298382900.480727,0.335140,0.828924,120638341.508415
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,8,32,120888187.809995,0.827211,1000000,50000000,50000000,2,32768,0,auto,4,64,287081687.180814,0.348333,1.178722,84837664.849193
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,32,38521811.559120,2.595932,1000000,50000000,50000000,2,32768,0,auto,2,64,305743201.477998,0.327072,2.926413,34171525.672375
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,8,32,21913788.116141,4.563337,1000000,50000000,50000000,2,32768,0,auto,2,64,317358195.859760,0.315101,4.882012,20483359.128999
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,32,38552850.291894,2.593842,1000000,50000000,50000000,2,32768,0,auto,4,64,300838769.812643,0.332404,2.929393,34136770.484968
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,8,32,21993912.900495,4.546713,1000000,50000000,50000000,2,32768,0,auto,4,64,296472279.102076,0.337300,4.887446,20460584.798230
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,501161033.379283,0.199537,1000000,50000000,50000000,2,32768,0,auto,2,64,276984945.338917,0.361030,0.564232,177232124.004901
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,485747300.690179,0.205868,1000000,50000000,50000000,2,32768,0,auto,2,64,290765379.378391,0.343920,0.553021,180824818.714055
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,32,485696219.519011,0.205890,1000000,50000000,50000000,2,32768,0,auto,4,64,277291723.857848,0.360631,0.569678,175537895.038228
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,8,32,486289508.747617,0.205639,1000000,50000000,50000000,2,32768,0,auto,4,64,277274128.954154,0.360654,0.569526,175584655.485909
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,32,205765147.364075,0.485991,1000000,50000000,50000000,2,32768,0,auto,2,64,298202517.352200,0.335343,0.824469,121290194.549259
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,8,32,118036807.466814,0.847193,1000000,50000000,50000000,2,32768,0,auto,2,64,290342484.572699,0.344421,1.195003,83681775.390977
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,32,199286763.436267,0.501789,1000000,50000000,50000000,2,32768,0,auto,4,64,284195695.996973,0.351870,0.856778,116716316.508094
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,8,32,117925124.414342,0.847996,1000000,50000000,50000000,2,32768,0,auto,4,64,289428382.530181,0.345509,1.196943,83546190.599276
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,32,38612156.414423,2.589858,1000000,50000000,50000000,2,32768,0,auto,2,64,316230867.614405,0.316225,2.909438,34370902.036982
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,8,32,21660076.206883,4.616789,1000000,50000000,50000000,2,32768,0,auto,2,64,296997678.158889,0.336703,4.956771,20174424.303280
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,32,38442281.942124,2.601302,1000000,50000000,50000000,2,32768,0,auto,4,64,320599130.662899,0.311916,2.916483,34287872.610881
