checksum1,checksum2,dataset_type,join_count,join_throughput,join_time,max_key,mpi_active_ranks,mpi_nodes,mpi_partition_strategy,mpi_processes,mpi_world_size,nr,ns,partition_throughput,partition_time,time_sec,total_throughput,verified
6185417096973469475,16931092769743058723,uniform,2499986166,51909878.740327,1.926416,1000000,1,1,block,1,1,50000000,50000000,51163237.450315,1.954528,10.539673,9487960.696280,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,59564978.265627,1.678839,1000000,1,1,block,1,1,50000000,50000000,89368369.798591,1.118964,9.422206,10613226.311465,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,43337106.903738,2.307491,1000000,1,1,block,1,1,50000000,50000000,125906572.805364,0.794240,9.759517,10246408.363422,false
6185417096973469475,16931092769743058723,uniform,2499986166,131369538.534271,0.761211,1000000,2,2,block,2,2,50000000,50000000,108461960.854695,0.921982,5.389543,18554447.144504,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,61223707.141206,1.633354,1000000,2,2,block,2,2,50000000,50000000,143191922.319660,0.698363,6.567283,15226998.118897,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,43111745.185487,2.319554,1000000,2,2,block,2,2,50000000,50000000,144528812.374305,0.691904,7.211704,13866347.629894,false
6185417096973469475,16931092769743058723,uniform,2499986166,259401984.232646,0.385502,1000000,4,4,block,4,4,50000000,50000000,222150661.199470,0.450145,2.622931,38125286.082963,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,62951443.644278,1.588526,1000000,4,4,block,4,4,50000000,50000000,154209373.329984,0.648469,4.527292,22088259.137313,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,44113873.224324,2.266861,1000000,4,4,block,4,4,50000000,50000000,152620329.427722,0.655221,5.215974,19171875.735768,false
6185417096973469475,16931092769743058723,uniform,2499986166,408253031.615994,0.244946,1000000,8,8,block,8,8,50000000,50000000,1071421040.312999,0.093334,1.235409,80944858.270629,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,62822058.984401,1.591798,1000000,8,8,block,8,8,50000000,50000000,158842947.649315,0.629553,3.781356,26445539.047289,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,44967809.319819,2.223813,1000000,8,8,block,8,8,50000000,50000000,157376253.541634,0.635420,4.417891,22635237.260053,false
6185417096973469475,16931092769743058723,uniform,2499986166,66277892.986659,1.508799,1000000,1,1,block,1,1,50000000,50000000,52408406.067188,1.908091,10.042829,9957353.898058,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,59311761.877248,1.686006,1000000,1,1,block,1,1,50000000,50000000,89230425.049131,1.120694,9.438827,10594537.058586,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,43418919.142503,2.303143,1000000,1,1,block,1,1,50000000,50000000,125743474.744033,0.795270,9.648301,10364518.766394,false
6185417096973469475,16931092769743058723,uniform,2499986166,131954478.434287,0.757837,1000000,2,2,block,2,2,50000000,50000000,109306793.403125,0.914856,9.251814,10808691.255989,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,61167029.623618,1.634868,1000000,2,2,block,2,2,50000000,50000000,143367029.000868,0.697510,6.559392,15245314.593499,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,43350591.437137,2.306774,1000000,2,2,block,2,2,50000000,50000000,144909792.720858,0.690084,7.202555,13883961.499342,false
6185417096973469475,16931092769743058723,uniform,2499986166,204841364.602953,0.488183,1000000,4,4,block,4,4,50000000,50000000,228007657.633113,0.438582,2.698138,37062597.032948,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,64675066.390342,1.546191,1000000,4,4,block,4,4,50000000,50000000,154332931.296639,0.647950,4.483202,22305487.406317,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,43051914.299271,2.322777,1000000,4,4,block,4,4,50000000,50000000,153191146.175710,0.652779,5.266062,18989522.072993,false
6185417096973469475,16931092769743058723,uniform,2499986166,406983305.260400,0.245710,1000000,8,8,block,8,8,50000000,50000000,1078180650.611341,0.092749,1.231303,81214788.308773,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,61209183.350714,1.633742,1000000,8,8,block,8,8,50000000,50000000,156950006.782046,0.637146,3.843192,26020038.570194,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,44865961.940017,2.228861,1000000,8,8,block,8,8,50000000,50000000,157073452.268848,0.636645,4.432910,22558543.495472,false
6185417096973469475,16931092769743058723,uniform,2499986166,66118642.937646,1.512433,1000000,1,1,block,1,1,50000000,50000000,51251115.922492,1.951177,10.091265,9909560.374692,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,56292208.717537,1.776445,1000000,1,1,block,1,1,50000000,50000000,88894532.114516,1.124929,9.529703,10493506.749377,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,43421021.557417,2.303032,1000000,1,1,block,1,1,50000000,50000000,125829541.332355,0.794726,9.726217,10281489.192074,false
6185417096973469475,16931092769743058723,uniform,2499986166,103609978.821120,0.965158,1000000,2,2,block,2,2,50000000,50000000,108404417.221209,0.922472,5.621987,17787306.709925,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,61302004.637802,1.631268,1000000,2,2,block,2,2,50000000,50000000,143224259.522739,0.698206,6.546793,15274654.760243,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,43248409.654350,2.312224,1000000,2,2,block,2,2,50000000,50000000,145047940.631009,0.689427,7.231782,13827850.109463,false
6185417096973469475,16931092769743058723,uniform,2499986166,205047603.679446,0.487692,1000000,4,4,block,4,4,50000000,50000000,228240345.471469,0.438135,2.694308,37115275.882852,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,62358703.336370,1.603625,1000000,4,4,block,4,4,50000000,50000000,154464436.711936,0.647398,4.541699,22018193.497349,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,43556459.813612,2.295871,1000000,4,4,block,4,4,50000000,50000000,152921429.531944,0.653931,5.240067,19083724.799746,false
6185417096973469475,16931092769743058723,uniform,2499986166,512343003.070980,0.195182,1000000,8,8,block,8,8,50000000,50000000,974115946.871679,0.102657,1.190899,83970179.546104,false
