checksum1,checksum2,dataset_type,join_count,join_throughput,join_time,max_key,mpi_active_ranks,mpi_nodes,mpi_partition_strategy,mpi_processes,mpi_world_size,nr,ns,partition_throughput,partition_time,time_sec,total_throughput,verified
7970473340851283408,15465518843320288240,uniform,99994796,77613763.705719,0.257686,1000000,1,1,block,1,1,10000000,10000000,56509786.690680,0.353921,1.940383,10307245.018698,false
17324685421169538223,375901645370926228,skewed_90_5,1623005071,65401581.069299,0.305803,1000000,1,1,block,1,1,10000000,10000000,89157610.066624,0.224322,1.859393,10756200.372893,false
16086401175843815629,7957714702781369275,skewed_90_1,6939253682,57212551.509006,0.349574,1000000,1,1,block,1,1,10000000,10000000,124830563.265367,0.160217,1.839409,10873060.518062,false
9484500805786004277,383871123996043952,uniform,400018499,135120058.058715,0.296033,1000000,2,2,block,2,2,20000000,20000000,115338900.980066,0.346804,2.202674,18159747.912671,false
6355811297710748805,15921106762772595434,skewed_90_5,6492554280,60733404.816506,0.658616,1000000,2,2,block,2,2,20000000,20000000,139568704.916040,0.286597,2.642494,15137213.466985,false
15450192712215605427,5645205984089442740,skewed_90_1,27760580198,49138421.702057,0.814027,1000000,2,2,block,2,2,20000000,20000000,144910208.497518,0.276033,2.792974,14321649.668134,false
3575568045776244981,7674070805499128156,uniform,1599982716,253743453.147513,0.315279,1000000,4,4,block,4,4,40000000,40000000,228479617.382938,0.350141,2.061207,38812206.654295,false
1088345676129210789,13344146556786311096,skewed_90_5,25970776483,58896303.931355,1.358320,1000000,4,4,block,4,4,40000000,40000000,150760701.679837,0.530642,3.723234,21486696.255378,false
13191304220111528243,11586701238124308777,skewed_90_1,111045347745,42916399.017514,1.864089,1000000,4,4,block,4,4,40000000,40000000,152765890.220678,0.523677,4.223742,18940550.365182,false
5005231824904745395,17428110892679703204,uniform,6400010645,475478279.826268,0.336503,1000000,8,8,block,8,8,80000000,80000000,1061929031.644885,0.150669,1.908776,83823341.176044,false
15134616776878307152,127467244740158697,skewed_90_5,103881876995,48819480.903042,3.277380,1000000,8,8,block,8,8,80000000,80000000,156790300.903687,1.020471,6.779903,23599156.499833,false
16621753519059660762,16264606797109317232,skewed_90_1,444177284610,37361337.816926,4.282502,1000000,8,8,block,8,8,80000000,80000000,157540187.010392,1.015614,7.785264,20551646.362603,false
7970473340851283408,15465518843320288240,uniform,99994796,77438752.133756,0.258269,1000000,1,1,block,1,1,10000000,10000000,56656940.963699,0.353002,1.942016,10298574.813907,false
17324685421169538223,375901645370926228,skewed_90_5,1623005071,62151692.404484,0.321793,1000000,1,1,block,1,1,10000000,10000000,87215146.178247,0.229318,1.877862,10650409.844580,false
16086401175843815629,7957714702781369275,skewed_90_1,6939253682,56966053.236680,0.351086,1000000,1,1,block,1,1,10000000,10000000,125244355.084582,0.159688,1.839463,10872735.500287,false
9484500805786004277,383871123996043952,uniform,400018499,135054656.642665,0.296176,1000000,2,2,block,2,2,20000000,20000000,116133892.479065,0.344430,2.194459,18227728.353733,false
6355811297710748805,15921106762772595434,skewed_90_5,6492554280,61058351.182458,0.655111,1000000,2,2,block,2,2,20000000,20000000,139322378.023708,0.287104,2.638755,15158662.549073,false
15450192712215605427,5645205984089442740,skewed_90_1,27760580198,49281106.935111,0.811670,1000000,2,2,block,2,2,20000000,20000000,144462472.003330,0.276889,2.860501,13983565.934973,false
3575568045776244981,7674070805499128156,uniform,1599982716,202703440.550630,0.394665,1000000,4,4,block,4,4,40000000,40000000,228882539.080539,0.349524,2.158588,37061271.995927,false
1088345676129210789,13344146556786311096,skewed_90_5,25970776483,58915391.509324,1.357879,1000000,4,4,block,4,4,40000000,40000000,151284464.052125,0.528805,3.721187,21498515.439371,false
13191304220111528243,11586701238124308777,skewed_90_1,111045347745,42730200.140449,1.872212,1000000,4,4,block,4,4,40000000,40000000,147281879.225470,0.543176,4.248216,18831433.409485,false
5005231824904745395,17428110892679703204,uniform,6400010645,471228013.315436,0.339538,1000000,8,8,block,8,8,80000000,80000000,1065954969.648966,0.150100,1.909435,83794421.995216,false
15134616776878307152,127467244740158697,skewed_90_5,103881876995,48713346.759605,3.284521,1000000,8,8,block,8,8,80000000,80000000,157007776.169999,1.019058,6.787428,23572995.613631,false
16621753519059660762,16264606797109317232,skewed_90_1,444177284610,37010375.191016,4.323112,1000000,8,8,block,8,8,80000000,80000000,157080931.162369,1.018583,7.830616,20432619.682620,false
7970473340851283408,15465518843320288240,uniform,99994796,77652232.765843,0.257559,1000000,1,1,block,1,1,10000000,10000000,56064517.726448,0.356732,1.944803,10283818.838791,false
17324685421169538223,375901645370926228,skewed_90_5,1623005071,58649436.438941,0.341009,1000000,1,1,block,1,1,10000000,10000000,87355792.001180,0.228949,1.898553,10534336.458997,false
16086401175843815629,7957714702781369275,skewed_90_1,6939253682,57178670.703976,0.349781,1000000,1,1,block,1,1,10000000,10000000,125519027.204526,0.159338,1.839081,10874995.700862,false
9484500805786004277,383871123996043952,uniform,400018499,135080626.418578,0.296119,1000000,2,2,block,2,2,20000000,20000000,115907647.666955,0.345102,2.170674,18427459.304026,false
6355811297710748805,15921106762772595434,skewed_90_5,6492554280,61186488.760209,0.653739,1000000,2,2,block,2,2,20000000,20000000,138909719.806062,0.287957,2.636789,15169967.131775,false
15450192712215605427,5645205984089442740,skewed_90_1,27760580198,49080918.194754,0.814981,1000000,2,2,block,2,2,20000000,20000000,144207769.932174,0.277378,2.782022,14378033.793252,false
3575568045776244981,7674070805499128156,uniform,1599982716,253401030.332305,0.315705,1000000,4,4,block,4,4,40000000,40000000,226624999.149160,0.353006,2.089475,38287123.973721,false
1088345676129210789,13344146556786311096,skewed_90_5,25970776483,55932155.193407,1.430304,1000000,4,4,block,4,4,40000000,40000000,150825762.624232,0.530413,3.797875,21064409.107192,false
13191304220111528243,11586701238124308777,skewed_90_1,111045347745,41751488.736247,1.916099,1000000,4,4,block,4,4,40000000,40000000,152897771.458319,0.523225,4.275168,18712717.076981,false
5005231824904745395,17428110892679703204,uniform,6400010645,470369419.127018,0.340158,1000000,8,8,block,8,8,80000000,80000000,1065536553.218287,0.150159,1.910291,83756864.587920,false
15134616776878307152,127467244740158697,skewed_90_5,103881876995,50582987.455047,3.163119,1000000,8,8,block,8,8,80000000,80000000,156185989.816574,1.024420,6.680815,23949175.641574,false
16621753519059660762,16264606797109317232,skewed_90_1,444177284610,37435985.391745,4.273963,1000000,8,8,block,8,8,80000000,80000000,157260076.406278,1.017423,7.774660,20579679.278958,false
7970473340851283408,15465518843320288240,uniform,99994796,77786665.878084,0.257113,1000000,1,1,block,1,1,10000000,10000000,56387219.718199,0.354690,1.941639,10300575.904380,false
17324685421169538223,375901645370926228,skewed_90_5,1623005071,59378862.779969,0.336820,1000000,1,1,block,1,1,10000000,10000000,88883980.386320,0.225012,1.891865,10571579.108767,false
16086401175843815629,7957714702781369275,skewed_90_1,6939253682,56989071.029086,0.350944,1000000,1,1,block,1,1,10000000,10000000,125408164.960032,0.159479,1.825277,10957241.386720,false
9484500805786004277,383871123996043952,uniform,400018499,135567920.089328,0.295055,1000000,2,2,block,2,2,20000000,20000000,114760391.890458,0.348552,2.318547,17252183.075735,false
6355811297710748805,15921106762772595434,skewed_90_5,6492554280,60607952.031575,0.659979,1000000,2,2,block,2,2,20000000,20000000,139909855.540264,0.285898,2.654047,15071321.792469,false
15450192712215605427,5645205984089442740,skewed_90_1,27760580198,47903473.046310,0.835013,1000000,2,2,block,2,2,20000000,20000000,144681101.425357,0.276470,2.806876,14250721.032251,false
3575568045776244981,7674070805499128156,uniform,1599982716,201400781.754224,0.397218,1000000,4,4,block,4,4,40000000,40000000,228725328.164233,0.349764,2.148541,37234566.008791,false
1088345676129210789,13344146556786311096,skewed_90_5,25970776483,58762495.170151,1.361413,1000000,4,4,block,4,4,40000000,40000000,151343978.093541,0.528597,3.727212,21463763.968082,false
13191304220111528243,11586701238124308777,skewed_90_1,111045347745,41371477.045491,1.933699,1000000,4,4,block,4,4,40000000,40000000,152470450.699907,0.524692,4.296201,18621102.747049,false
5005231824904745395,17428110892679703204,uniform,6400010645,470078518.814322,0.340369,1000000,8,8,block,8,8,80000000,80000000,1069424210.897737,0.149613,1.906731,83913253.471534,false
15134616776878307152,127467244740158697,skewed_90_5,103881876995,49078057.902814,3.260113,1000000,8,8,block,8,8,80000000,80000000,156183219.315139,1.024438,6.791612,23558472.067727,false
16621753519059660762,16264606797109317232,skewed_90_1,444177284610,37357313.597954,4.282963,1000000,8,8,block,8,8,80000000,80000000,157447755.889029,1.016210,7.901296,20249843.061107,false
7970473340851283408,15465518843320288240,uniform,99994796,77419613.998836,0.258332,1000000,1,1,block,1,1,10000000,10000000,56556471.330531,0.353629,1.947632,10268882.073043,false
17324685421169538223,375901645370926228,skewed_90_5,1623005071,59610277.777294,0.335513,1000000,1,1,block,1,1,10000000,10000000,88856991.397452,0.225081,1.898938,10532200.958439,false
16086401175843815629,7957714702781369275,skewed_90_1,6939253682,53924410.914703,0.370890,1000000,1,1,block,1,1,10000000,10000000,125006606.802279,0.159992,1.866156,10717219.432233,false
9484500805786004277,383871123996043952,uniform,400018499,135814024.932748,0.294520,1000000,2,2,block,2,2,20000000,20000000,114893754.595451,0.348148,2.160092,18517725.841080,false
6355811297710748805,15921106762772595434,skewed_90_5,6492554280,62527313.448726,0.639720,1000000,2,2,block,2,2,20000000,20000000,139154739.875270,0.287450,2.667956,14992750.658380,false
15450192712215605427,5645205984089442740,skewed_90_1,27760580198,49084924.061170,0.814914,1000000,2,2,block,2,2,20000000,20000000,144530055.884932,0.276759,2.786312,14355892.415729,false
