checksum1,checksum2,dataset_type,join_count,join_throughput,join_time,max_key,mpi_active_ranks,mpi_nodes,mpi_partition_strategy,mpi_processes,mpi_world_size,nr,ns,partition_throughput,partition_time,redistribution_throughput,redistribution_time,time_sec,total_throughput,verified
7970473340851283408,15465518843320288240,uniform,99994796,79513596.280535,0.251529,1000000,1,1,block,1,1,10000000,10000000,56278776.704188,0.355374,14866609.231205,1.345297,1.953979,10235527.149915,false
17324685421169538223,375901645370926228,skewed_90_5,1623005071,61766790.912963,0.323799,1000000,1,1,block,1,1,10000000,10000000,88999670.074986,0.224720,14922605.158728,1.340249,1.890489,10579270.773584,false
16086401175843815629,7957714702781369275,skewed_90_1,6939253682,55272830.001770,0.361841,1000000,1,1,block,1,1,10000000,10000000,124910738.194057,0.160114,14972626.734277,1.335771,1.859494,10755612.326255,false
9484500805786004277,383871123996043952,uniform,400018499,137863812.242374,0.290141,1000000,2,2,block,2,2,20000000,20000000,114125840.898619,0.350490,26216912.880859,1.525733,2.167920,18450865.845628,false
6355811297710748805,15921106762772595434,skewed_90_5,6492554280,62463555.197601,0.640373,1000000,2,2,block,2,2,20000000,20000000,139714730.730352,0.286298,23501621.847509,1.702010,2.631112,15202695.102206,false
15450192712215605427,5645205984089442740,skewed_90_1,27760580198,49617161.188986,0.806173,1000000,2,2,block,2,2,20000000,20000000,144427237.030836,0.276956,23837362.322616,1.678038,2.763670,14473509.353665,false
3575568045776244981,7674070805499128156,uniform,1599982716,204532841.147852,0.391135,1000000,4,4,block,4,4,40000000,40000000,229516785.307531,0.348558,56912166.669096,1.405675,2.144882,37298089.562022,false
1088345676129210789,13344146556786311096,skewed_90_5,25970776483,59609642.885667,1.342065,1000000,4,4,block,4,4,40000000,40000000,151291179.694401,0.528782,43694458.818002,1.830896,3.705512,21589457.283559,false
13191304220111528243,11586701238124308777,skewed_90_1,111045347745,43053413.000149,1.858157,1000000,4,4,block,4,4,40000000,40000000,152788068.230356,0.523601,43434877.987991,1.841838,4.227397,18924174.859223,false
5005231824904745395,17428110892679703204,uniform,6400010645,478852673.191711,0.334132,1000000,8,8,block,8,8,80000000,80000000,1063694037.163202,0.150419,112954498.628100,1.416500,1.897407,84325609.451834,false
15134616776878307152,127467244740158697,skewed_90_5,103881876995,49131516.514797,3.256565,1000000,8,8,block,8,8,80000000,80000000,156845059.408194,1.020115,64239688.835954,2.490672,6.774446,23618167.723460,false
16621753519059660762,16264606797109317232,skewed_90_1,444177284610,37519140.485033,4.264490,1000000,8,8,block,8,8,80000000,80000000,157402183.793637,1.016504,64455820.530674,2.482320,7.770281,20591276.836829,false
7970473340851283408,15465518843320288240,uniform,99994796,79006100.325436,0.253145,1000000,1,1,block,1,1,10000000,10000000,56560253.671680,0.353605,14932285.134887,1.339380,1.947807,10267956.605842,false
17324685421169538223,375901645370926228,skewed_90_5,1623005071,62656367.793410,0.319201,1000000,1,1,block,1,1,10000000,10000000,88683105.772334,0.225522,14899486.266520,1.342328,1.888766,10588922.494678,false
16086401175843815629,7957714702781369275,skewed_90_1,6939253682,54524994.788158,0.366804,1000000,1,1,block,1,1,10000000,10000000,125395619.506141,0.159495,14957308.195039,1.337139,1.865142,10723041.964868,false
9484500805786004277,383871123996043952,uniform,400018499,138405984.793826,0.289005,1000000,2,2,block,2,2,20000000,20000000,114952234.908466,0.347971,26042330.072539,1.535961,2.171126,18423617.662996,false
6355811297710748805,15921106762772595434,skewed_90_5,6492554280,67895882.087664,0.589137,1000000,2,2,block,2,2,20000000,20000000,139919986.919939,0.285878,23463737.208006,1.704758,2.582234,15490463.921338,false
15450192712215605427,5645205984089442740,skewed_90_1,27760580198,47241940.568064,0.846705,1000000,2,2,block,2,2,20000000,20000000,144117242.252386,0.277552,22371220.083255,1.788012,2.914728,13723405.341289,false
3575568045776244981,7674070805499128156,uniform,1599982716,259650424.077964,0.308107,1000000,4,4,block,4,4,40000000,40000000,228173982.759436,0.350610,56409711.718068,1.418196,2.078821,38483355.039096,false
1088345676129210789,13344146556786311096,skewed_90_5,25970776483,59835538.145048,1.336998,1000000,4,4,block,4,4,40000000,40000000,150475615.736544,0.531648,43503796.036445,1.838920,3.711218,21556264.644563,false
13191304220111528243,11586701238124308777,skewed_90_1,111045347745,42861003.915262,1.866499,1000000,4,4,block,4,4,40000000,40000000,152863343.202223,0.523343,43444959.311650,1.841410,4.235018,18890120.087435,false
5005231824904745395,17428110892679703204,uniform,6400010645,478521432.163271,0.334363,1000000,8,8,block,8,8,80000000,80000000,1067842395.207377,0.149835,112174931.543062,1.426344,1.905536,83965895.323361,false
15134616776878307152,127467244740158697,skewed_90_5,103881876995,50718837.427631,3.154646,1000000,8,8,block,8,8,80000000,80000000,156132372.119634,1.024771,64135326.970539,2.494725,6.681090,23948189.319906,false
16621753519059660762,16264606797109317232,skewed_90_1,444177284610,37141127.434089,4.307893,1000000,8,8,block,8,8,80000000,80000000,157117959.267486,1.018343,64484209.081979,2.481228,7.814750,20474104.461298,false
7970473340851283408,15465518843320288240,uniform,99994796,79230576.731710,0.252428,1000000,1,1,block,1,1,10000000,10000000,56202765.776044,0.355854,14956208.403717,1.337237,1.947208,10271114.509765,false
17324685421169538223,375901645370926228,skewed_90_5,1623005071,60520067.682890,0.330469,1000000,1,1,block,1,1,10000000,10000000,89001186.802045,0.224716,14951031.882198,1.337700,1.894703,10555745.811112,false
16086401175843815629,7957714702781369275,skewed_90_1,6939253682,56902527.260930,0.351478,1000000,1,1,block,1,1,10000000,10000000,124728105.064623,0.160349,14915584.884133,1.340879,1.854467,10784769.395548,false
9484500805786004277,383871123996043952,uniform,400018499,137991165.413824,0.289874,1000000,2,2,block,2,2,20000000,20000000,115904320.840197,0.345112,26332270.662293,1.519049,2.155143,18560255.458266,false
6355811297710748805,15921106762772595434,skewed_90_5,6492554280,61850446.147154,0.646721,1000000,2,2,block,2,2,20000000,20000000,138892249.075676,0.287993,23484169.550158,1.703275,2.640510,15148588.525601,false
15450192712215605427,5645205984089442740,skewed_90_1,27760580198,50808063.702133,0.787277,1000000,2,2,block,2,2,20000000,20000000,144522008.073185,0.276774,23462599.192567,1.704841,2.771358,14433355.289496,false
3575568045776244981,7674070805499128156,uniform,1599982716,204060542.862761,0.392041,1000000,4,4,block,4,4,40000000,40000000,229070315.073977,0.349238,56556757.461132,1.414508,2.152855,37159960.421425,false
1088345676129210789,13344146556786311096,skewed_90_5,25970776483,59988984.569774,1.333578,1000000,4,4,block,4,4,40000000,40000000,151021418.762622,0.529726,43625489.110210,1.833790,3.700897,21616383.586015,false
13191304220111528243,11586701238124308777,skewed_90_1,111045347745,43017188.006404,1.859722,1000000,4,4,block,4,4,40000000,40000000,152730750.094624,0.523798,43694942.018324,1.830876,4.218141,18965701.216249,false
5005231824904745395,17428110892679703204,uniform,6400010645,481193826.887124,0.332506,1000000,8,8,block,8,8,80000000,80000000,1064928370.314441,0.150245,110938656.120524,1.442238,1.925320,83103079.377580,false
15134616776878307152,127467244740158697,skewed_90_5,103881876995,49144540.994605,3.255702,1000000,8,8,block,8,8,80000000,80000000,157019206.863588,1.018984,64049779.670958,2.498057,6.779613,23600165.762672,false
16621753519059660762,16264606797109317232,skewed_90_1,444177284610,37081947.223119,4.314768,1000000,8,8,block,8,8,80000000,80000000,157632462.907037,1.015019,64197547.740829,2.492307,7.829105,20436562.773582,false
7970473340851283408,15465518843320288240,uniform,99994796,79207990.487680,0.252500,1000000,1,1,block,1,1,10000000,10000000,56317645.625769,0.355128,14948320.433186,1.337943,1.947341,10270415.602459,false
17324685421169538223,375901645370926228,skewed_90_5,1623005071,60810677.778237,0.328890,1000000,1,1,block,1,1,10000000,10000000,89204370.709320,0.224204,14954597.051954,1.337381,1.892218,10569606.812259,false
16086401175843815629,7957714702781369275,skewed_90_1,6939253682,55374313.301715,0.361178,1000000,1,1,block,1,1,10000000,10000000,125380523.181088,0.159514,14992779.296842,1.333975,1.856376,10773679.255364,false
9484500805786004277,383871123996043952,uniform,400018499,138545837.621674,0.288713,1000000,2,2,block,2,2,20000000,20000000,115954278.364244,0.344964,25634259.409708,1.560412,2.195171,18221817.922659,false
6355811297710748805,15921106762772595434,skewed_90_5,6492554280,62180152.646010,0.643292,1000000,2,2,block,2,2,20000000,20000000,140062097.386886,0.285588,23476722.066315,1.703815,2.635219,15179004.053424,false
15450192712215605427,5645205984089442740,skewed_90_1,27760580198,49524553.471234,0.807680,1000000,2,2,block,2,2,20000000,20000000,144249145.339976,0.277298,23500055.056753,1.702124,2.789556,14339198.751069,false
3575568045776244981,7674070805499128156,uniform,1599982716,259503225.235772,0.308281,1000000,4,4,block,4,4,40000000,40000000,229420162.751208,0.348705,56803869.684175,1.408355,2.065198,38737214.761578,false
1088345676129210789,13344146556786311096,skewed_90_5,25970776483,59861246.956370,1.336424,1000000,4,4,block,4,4,40000000,40000000,151338660.226941,0.528616,43478836.047208,1.839976,3.708673,21571055.207162,false
13191304220111528243,11586701238124308777,skewed_90_1,111045347745,41931397.731041,1.907878,1000000,4,4,block,4,4,40000000,40000000,152698696.647860,0.523908,43411313.381273,1.842838,4.278437,18698418.750061,false
5005231824904745395,17428110892679703204,uniform,6400010645,476815885.641295,0.335559,1000000,8,8,block,8,8,80000000,80000000,1066497082.655097,0.150024,112720907.293738,1.419435,1.901512,84143546.433343,false
15134616776878307152,127467244740158697,skewed_90_5,103881876995,49300013.462163,3.245435,1000000,8,8,block,8,8,80000000,80000000,157088066.153313,1.018537,64404009.611539,2.484317,6.755445,23684596.718063,false
16621753519059660762,16264606797109317232,skewed_90_1,444177284610,37435749.510090,4.273989,1000000,8,8,block,8,8,80000000,80000000,157339408.514861,1.016910,64418008.245772,2.483778,7.781687,20561094.166340,false
7970473340851283408,15465518843320288240,uniform,99994796,79297950.164690,0.252213,1000000,1,1,block,1,1,10000000,10000000,56386082.064480,0.354697,14979898.685364,1.335123,1.943707,10289617.896866,false
17324685421169538223,375901645370926228,skewed_90_5,1623005071,60502453.615043,0.330565,1000000,1,1,block,1,1,10000000,10000000,89071363.881395,0.224539,14940622.889643,1.338632,1.895467,10551489.659893,false
16086401175843815629,7957714702781369275,skewed_90_1,6939253682,52742073.494899,0.379204,1000000,1,1,block,1,1,10000000,10000000,125182823.575667,0.159766,14962102.972436,1.336710,1.878018,10649522.702561,false
9484500805786004277,383871123996043952,uniform,400018499,136634774.965998,0.292751,1000000,2,2,block,2,2,20000000,20000000,115883091.951287,0.345175,25712733.828443,1.555649,2.191133,18255393.614327,false
6355811297710748805,15921106762772595434,skewed_90_5,6492554280,62059654.801082,0.644541,1000000,2,2,block,2,2,20000000,20000000,139325679.080153,0.287097,23461163.705304,1.704945,2.639049,15156976.898592,false
